epoch	loss	accuracy	val_loss	val_accuracy
1	2.8640	0.3452	2.7257	0.4788
2	2.3640	0.4452	1.7257	0.5888
3	2.0640	0.5452	1.7257	0.6588
4	1.5345	0.7015	1.2691	0.6617
5	1.2194	0.7214	1.1752	0.6701
6	1.0398	0.7887	1.0661	0.7241
7	0.9926	0.8146	0.9038 	0.7289
8	0.8926	0.8386	0.9038 	0.7421
9	0.7993	0.8415	0.8547	0.7668
10	0.7993	0.8755	0.8547	0.7698
11	0.7069	0.9011	0.8194	0.7781
12	0.6318	0.9067	0.8108	0.7805
13	0.5576	0.9103	0.8103	0.8019
14	0.5084	0.9128 	0.8320 	0.8085
15	0.5084	0.9208 	0.8320 	0.8085
16	0.4703	0.9271	0.8673	0.8141
17	0.4215	0.9301	0.8474	0.8108
18	0.3954	0.9331	0.8824	0.8077
19	0.3482	0.9325	0.8905	0.8097
20	0.3333	0.9330	0.9252	0.8124
